time,tem,hum,pre,rad,ConfirmedCases,Diff,Res,SPred,SL
1/1/2016,-0.672715054,55.93548387,0.08561828,116.0241935,33,,33,,
2/1/2016,1.346264368,37.83189655,0.005890805,176.7413793,118,85,85.00398416,,
3/1/2016,6.355645161,68.94623656,0.185080645,128.155914,22,-96,-95.97794432,,
4/1/2016,11.03458333,52.07638889,0.090694444,216.0708333,7,-15,-15.01465838,,
5/1/2016,20.12997312,28.97849462,0.011155914,260.3037634,23,16,15.99071427,,
6/1/2016,24.12638889,17.83888889,0.001944444,263.25,22,-1,-0.999733695,,
7/1/2016,26.17647849,17.94489247,0,259.2258065,1,-21,-21.00016481,,
8/1/2016,23.52620968,15.61424731,0,239.9959677,0,-1,-1.00520096,,
9/1/2016,21.34375,13.96111111,0,215.1194444,2,2,1.997574226,,
10/1/2016,14.05510753,21.45564516,0,179.0094086,2,0,-0.000909631,,
11/1/2016,6.682083333,37.90833333,0.019861111,126.6791667,14,12,11.99846812,,
12/1/2016,4.512768817,48.14112903,0.013172043,119.4825269,13,-1,-1.000753788,,
1/1/2017,-1.809543011,57.63844086,0.08266129,96.67069892,3,-10,-26.49945002,,
2/1/2017,-1.811755952,65.29166667,0.23452381,112.266369,5,2,-82.97208638,,
3/1/2017,3.823924731,63.81048387,0.127553763,161.1854839,1,-4,66.47816806,,
4/1/2017,13.02805556,40.30416667,0.020277778,249.3111111,0,-1,29.36990375,,
5/1/2017,20.34623656,25.6344086,0.008064516,260.655914,0,0,2.390376479,,
6/1/2017,24.77472222,15.23055556,0,283.3333333,0,0,9.183562629,,
7/1/2017,26.1313172,16.25403226,0,263.7217742,0,0,28.5261104,,
8/1/2017,23.85255376,13.85483871,0,254.6397849,0,0,17.95637459,,
9/1/2017,19.87416667,14.97222222,0,215.1083333,0,0,13.59277952,,
10/1/2017,14.8844086,18.375,0,179.3870968,6,6,18.92490402,,
11/1/2017,6.314305556,43.61388889,0.037777778,118.75,24,18,20.54089525,,
12/1/2017,2.018145161,37.29301075,0.001209677,114.2217742,69,45,61.40430492,,
1/1/2018,1.934005376,36.31317204,0.015322581,131.5026882,84,15,60.56315506,,
2/1/2018,2.311458333,54.45089286,0.077380952,127.53125,35,-49,-47.70125699,,
3/1/2018,8.541935484,54.43951613,0.071370968,179.7701613,6,-29,6.574287861,,
4/1/2018,14.40194444,32.74583333,0.018472222,214.9333333,6,0,7.19451025,,
5/1/2018,17.87862903,25.41666667,0.008198925,264.9717742,1,-5,-8.165173569,,
6/1/2018,24.24055556,14.70555556,0,280.3194444,0,-1,-3.388995135,,
7/1/2018,26.49005376,14.1827957,0,265.0228495,0,0,6.197903588,,
8/1/2018,25.13051075,13.76747312,0,256.8508065,0,0,2.657581349,,
9/1/2018,19.62763889,15.20833333,0,217.1152778,0,0,1.458240246,,
10/1/2018,12.45524194,23.75268817,0.002150538,172.9502688,1,1,-0.651621979,,
11/1/2018,7.292916667,42.76527778,0.034027778,126.3555556,21,20,5.071347149,,
12/1/2018,3.163575269,36.23924731,0.005241935,124.2634409,42,21,-0.735363682,,
1/1/2019,-1.892741935,57.22580645,0.095430108,107.2715054,81,39,36.70472222,,
2/1/2019,-5.229017857,64.4985119,0.21264881,124.5446429,49,-32,-9.573119974,,
3/1/2019,-1.014247312,67.97580645,0.134946237,169.1196237,9,-40,-0.725022155,,
4/1/2019,11.04152778,57.80138889,0.115694444,198.7055556,9,0,4.288007399,,
5/1/2019,17.18104839,32.71505376,0.013306452,259.6451613,1,-8,-6.775101039,,
6/1/2019,22.07958333,19.525,0.000555556,277.0527778,2,1,-1.065280885,,
7/1/2019,26.99139785,15.77284946,0,266.594086,1,-1,2.174801547,,
8/1/2019,24.94327957,16.16532258,0,247.0443548,0,-1,-0.183047807,,
9/1/2019,22.03027778,12.67222222,0,218.2013889,1,1,0.68188903,,
10/1/2019,14.06693548,26.7311828,0.015456989,165.3037634,7,6,4.209431211,,
11/1/2019,4.000138889,57.75972222,0.072777778,108.2722222,27,20,5.145878123,,
12/1/2019,0.153360215,53.33064516,0.027822581,111.9099462,92,65,46.09605621,,
1/1/2020,-7.407392473,63.61290323,0.168413978,92.01344086,58,-34,-25.91197926,,
2/1/2020,-2.220977011,58.5316092,0.097270115,148.5043103,32,-26,-14.43223311,,
3/1/2020,3.062096774,70.75,0.206989247,141.5295699,2,-30,-1.46649045,,
4/1/2020,10.16194444,63.19861111,0.084861111,190.3680556,0,-2,-4.468910271,,
5/1/2020,17.3891129,33.18010753,0.018817204,259.8306452,0,0,-1.561911923,,
6/1/2020,23.50347222,16.30416667,0.000972222,281.0791667,0,0,-2.602605134,,
7/1/2020,25.06021505,17.38037634,0,264.8870968,0,0,0.675903278,,
8/1/2020,25.01693548,17.33870968,0.000134409,247.5120968,0,0,0.003642988,,
9/1/2020,18.86722222,15.15833333,0,215.4972222,0,0,-0.902634937,,
10/1/2020,12.31438172,17.84543011,0,182.1827957,3,3,-1.485367286,,
11/1/2020,5.062638889,45.30555556,0.064027778,112.9361111,14,11,-8.641558277,,
12/1/2020,-1.192473118,53.88306452,0.03077957,103.9112903,4,-10,-56.72558173,,
1/1/2021,-0.179704301,32.67069892,0.000403226,144.3776882,41,37,6.023525274,,
2/1/2021,5.648214286,39.42857143,0.028125,153.860119,3,-38,-27.90947836,,
3/1/2021,8.897715054,41.96505376,0.053897849,180.1787634,12,9,23.7089933,,
4/1/2021,14.61027778,26.35,0.015972222,240.1347222,2,-10,-1.900944746,,
5/1/2021,18.29395161,28.26478495,0.032526882,254.4919355,0,-2,0.796930515,,
6/1/2021,24.14194444,11.32083333,0,282.0097222,0,0,0.911027474,,
7/1/2021,26.53642473,17.3077957,0,247.7379032,0,0,2.696005774,,
8/1/2021,23.87688172,13.28897849,0,252.0698925,0,0,2.246870471,,
9/1/2021,21.89958333,12.64583333,0,214.6347222,1,1,2.664951073,,
10/1/2021,13.71975806,17.37096774,0.000403226,181.0873656,7,6,4.854555324,,
11/1/2021,6.87375,33.64305556,0.000277778,137.2319444,39,32,20.44942412,,
12/1/2021,3.016397849,32.58198925,0.015994624,109.5040323,15,-24,-29.85236363,,
1/1/2022,-3.919489247,61.93682796,0.13172043,104.202957,6,-9,-34.91356761,,
2/1/2022,-1.482440476,58.45982143,0.064285714,147.4895833,0,-6,-3.535700265,,
3/1/2022,9.603897849,45.46236559,0.039650538,202.483871,0,0,4.30392472,,
4/1/2022,16.32013889,24.55277778,0.008888889,249.1819444,0,0,3.412683887,,
5/1/2022,20.23454301,18.87634409,0.004704301,270.672043,0,0,2.980881827,,
6/1/2022,23.18180556,15.8625,0,276.6236111,0,0,2.215256272,,
7/1/2022,26.35349462,28.4811828,0.024865591,229.6747312,0.0001,0,6.953525,-3.203359614,3.750165386
8/1/2022,22.3983871,39.42741935,0.07016129,171.8104839,1,1,15.637201,-4.227833684,11.40936732
9/1/2022,20.14958333,13.94166667,0,218.5680556,1,0,32.55098,-3.900763883,28.65021612
10/1/2022,13.88266129,18.39784946,0,182.6317204,19,18,17.190647,0.53850288,17.72914988
11/1/2022,6.959722222,43.94583333,0.042777778,125.4083333,76,57,6.1297803,22.89942398,29.02920428
