time,tem,hum,pre,rad,ConfirmedCases,Diff,Res,SPred
2009-02-01,24.16651786,31.30505952,0.0,198.6815476,1,,1.0,
2009-03-01,26.95188172,25.43951613,0.008064516,210.8172043,1,0.0,-0.0023559563204633704,
2009-04-01,30.905,19.02083333,0.005555556,242.3055556,0,-1.0,-0.9538256384110175,
2009-05-01,33.30403226,25.46774194,0.008467742,224.6854839,0,0.0,0.019783702173504933,
2009-06-01,31.22833333,44.30833333,0.129166667,173.1875,86,86.0,85.92832762061904,
2009-07-01,24.24086022,86.93682796,0.568010753,54.55510753,239,153.0,152.84645203351485,
2009-08-01,24.42271505,83.23924731,0.352688172,74.54166667,2083,1844.0,1850.8603048046566,
2009-09-01,25.30527778,75.51944444,0.359027778,139.6055556,1134,-949.0,-936.3739418419273,
2009-10-01,23.46518817,58.98252688,0.093413978,153.3978495,574,-560.0,-400.44415160758695,
2009-11-01,20.3625,64.83611111,0.071805556,127.3944444,506,-68.0,-86.70389544885779,
2009-12-01,19.28642473,59.17876344,0.019086022,137.0860215,408,-98.0,-138.89148468771316,
2010-01-01,18.10577957,47.04704301,0.003897849,169.4327957,490,82.0,58.25151277718453,
2010-02-01,21.42931548,50.2797619,0.051934524,163.1517857,475,-15.0,-30.505943958867306,
2010-03-01,28.51626344,26.18145161,0.001478495,213.7002688,419,-56.0,-63.367311945267375,
2010-04-01,32.39125,18.92361111,0.000416667,241.1833333,225,-194.0,-208.06776889048592,
2010-05-01,33.90067204,25.38844086,0.001075269,220.7715054,178,-47.0,-84.12064766884953,
2010-06-01,30.30763889,55.57222222,0.179444444,160.4291667,159,-19.0,-213.41838659259236,
2010-07-01,24.72379032,86.95026882,0.548655914,57.12634409,757,598.0,421.15734215106147,
2010-08-01,24.22177419,87.50403226,0.4125,54.76209677,2137,1380.0,-343.18510098549723,
2010-09-01,24.23791667,80.36666667,0.173055556,100.8263889,529,-1608.0,-651.4934452843233,
2010-10-01,23.81370968,68.9422043,0.072446237,136.7836022,42,-487.0,-176.16231521602242,
2010-11-01,22.04472222,72.67361111,0.063888889,120.1527778,10,-32.0,-276.46103498126575,
2010-12-01,17.87647849,56.08602151,0.006451613,137.0752688,1,-9.0,-95.51851830712363,
2011-01-01,17.76895161,42.6438172,0.0,173.188172,71,70.0,-144.45459147440067,
2011-02-01,21.74613095,40.54315476,0.002827381,183.735119,57,-14.0,-53.36075833551563,
2011-03-01,26.575,27.31451613,0.000537634,225.8978495,40,-17.0,-81.84149258373093,
2011-04-01,28.58319444,33.64722222,0.015555556,215.1111111,11,-29.0,13.45537320495594,
2011-05-01,32.30672043,28.57526882,0.01061828,216.2392473,28,17.0,-20.459565914952428,
2011-06-01,27.08222222,68.91666667,0.313888889,110.0986111,157,129.0,73.00047793208398,
