time,tem,hum,pre,rad,ConfirmedCases,Diff,Res,SPred
2015-02-01,27.04479167,77.20386905,0.094196429,197.8943452,1,,1.0,
2015-03-01,27.91505376,74.98521505,0.084139785,205.3024194,0,-1.0,-0.9983788380328286,
2015-04-01,28.39416667,76.74027778,0.065416667,195.0513889,0,0.0,-0.0025599383198036587,
2015-05-01,28.10228495,81.59677419,0.274462366,156.7405914,0,0.0,-0.001053427368750878,
2015-06-01,28.40402778,77.61527778,0.124166667,167.3416667,0,0.0,-0.0004336673315002096,
2015-07-01,27.66438172,79.40456989,0.196774194,150.5026882,5,5.0,4.999821039187168,
2015-08-01,27.33252688,79.92607527,0.378629032,145.7540323,3,-2.0,-1.9839259325284857,
2015-09-01,27.295,82.03611111,0.299861111,150.5791667,11,8.0,8.000149349175265,
2015-10-01,27.34247312,81.72446237,0.499193548,144.8293011,15,4.0,4.025888168269413,
2015-11-01,27.13513889,82.35277778,0.299166667,142.3555556,0,-15.0,-14.97646022932224,
2015-12-01,27.52567204,80.82258065,0.222580645,160.7311828,2,2.0,1.9611584256638714,
2016-01-01,27.59758065,78.7983871,0.200403226,167.2405914,0,-2.0,-2.0097123272992254,
2016-02-01,28.02729885,76.14511494,0.094396552,174.8778736,0,0.0,-0.5084621293139351,
2016-03-01,28.47674731,76.93817204,0.040725806,214.6545699,2,2.0,2.987102138005967,
2016-04-01,28.48402778,80.13333333,0.270555556,179.2569444,0,-2.0,-1.117610572982547,
2016-05-01,28.30739247,82.63709677,0.345698925,135.858871,13,13.0,12.951855712059128,
2016-06-01,28.16902778,80.44027778,0.084861111,156.6,10,-3.0,2.2267429372295595,
2016-07-01,27.39543011,80.81182796,0.32594086,128.5134409,0,-10.0,-11.871521063010087,
2016-08-01,27.15846774,81.28763441,0.416397849,151.0188172,1,1.0,-1.1692114229332438,
2016-09-01,27.23583333,79.54861111,0.130555556,180.2375,0,-1.0,-11.210129741172208,
2016-10-01,26.88897849,81.33467742,0.520698925,135.905914,3,3.0,-7.315403071600247,
2016-11-01,26.7225,81.26527778,0.472083333,129.6361111,4,1.0,9.726408170828428,
2016-12-01,26.97715054,78.72043011,0.177419355,166.3790323,1,-3.0,-2.696776152031757,
2017-01-01,26.77163978,77.84139785,0.035887097,191.8709677,9,8.0,9.51963933326044,
2017-02-01,27.02857143,76.86011905,0.03735119,204.1488095,50,41.0,45.415454947550934,
2017-03-01,27.71102151,76.92876344,0.206451613,201.6989247,229,179.0,199.00725487022754,
2017-04-01,28.24680556,79.43194444,0.09625,203.1652778,25,-204.0,-101.74128936561961,
2017-05-01,27.86962366,81.71774194,0.30672043,139.3413978,6,-19.0,-33.67240027313873,
2017-06-01,27.98430556,77.925,0.057222222,176.5666667,13,7.0,-10.960480686872362,
2017-07-01,27.89274194,78.18951613,0.1,173.6344086,4,-9.0,-19.226515990625856,
2017-08-01,27.7827957,79.96236559,0.092607527,180.5201613,1,-3.0,-17.93742220640266,
2017-09-01,27.39388889,81.40833333,0.259305556,169.3625,14,13.0,-5.497043938332364,
2017-10-01,27.47607527,82.21505376,0.168010753,193.3212366,34,20.0,7.37545069425023,
2017-11-01,26.89402778,82.44166667,0.567916667,98.53888889,6,-28.0,-21.774273455461667,
