time,tem,hum,pre,rad,ConfirmedCases,Diff,Res,SPred
2011-06-01,21.98944444,81.30694444,0.647083333,117.7013889,4,,4.0,
2011-07-01,21.39301075,91.20564516,1.156317204,53.56451613,0,-4.0,-3.986166033002252,
2011-08-01,21.77069892,86.60080645,1.119892473,72.26344086,0,0.0,0.0014634578502797646,
2011-09-01,21.28513889,84.88888889,0.454027778,90.91666667,0,0.0,-0.042673994627914304,
2011-10-01,18.5766129,73.71908602,0.096774194,135.0846774,16,16.0,15.976294044847398,
2011-11-01,14.22375,80.94444444,0.143194444,82.76388889,3,-13.0,-12.894110542462927,
2011-12-01,11.32513441,81.85887097,0.025,90.1155914,26,23.0,23.13558744276731,
2012-01-01,8.222446237,75.52822581,0.08266129,115.8776882,53,27.0,27.081338333935623,
2012-02-01,10.98678161,71.39942529,0.090517241,150.6135057,46,-7.0,-6.561563939172601,
2012-03-01,13.86276882,68.03494624,0.017204301,191.9247312,13,-33.0,-32.550502741838606,
2012-04-01,17.15819444,67.73888889,0.102638889,193.4875,7,-6.0,-6.131524746366731,
2012-05-01,21.13615591,59.96908602,0.039516129,212.7836022,3,-4.0,-4.510113397619242,
2012-06-01,22.51236111,79.98888889,0.53375,134.6041667,4,1.0,-1.2688434702038762,
2012-07-01,21.89435484,89.8844086,1.067741935,54.71370968,30,26.0,29.713796292472182,
2012-08-01,22.02432796,87.00268817,0.511021505,83.73790323,213,183.0,186.86258896937773,
2012-09-01,21.11583333,84.22638889,0.860277778,99.59166667,528,315.0,354.7753488150944,
2012-10-01,17.13803763,73.46505376,0.069086022,155.3642473,146,-382.0,-258.1189913587142,
2012-11-01,13.83444444,69.26111111,0.007083333,137.7402778,3,-143.0,-63.63830884455544,
2012-12-01,11.90537634,72.15053763,0.010349462,123.3534946,4,1.0,-80.96810766457462,
2013-01-01,9.050134409,71.79166667,0.048655914,120.7728495,5,1.0,-108.14991354228003,
2013-02-01,11.55654762,72.17559524,0.150744048,120.2306548,33,28.0,-50.07507801108332,
2013-03-01,15.10322581,67.81182796,0.034946237,184.0067204,20,-13.0,-49.68090113652133,
2013-04-01,17.71847222,64.78472222,0.085138889,188.95,10,-10.0,-57.02676665300004,
2013-05-01,20.07459677,76.33602151,0.315053763,147.9744624,10,0.0,-53.88066475831715,
2013-06-01,21.89027778,85.30833333,0.843194444,70.41805556,120,110.0,43.809762269861324,
2013-07-01,21.80698925,89.86021505,0.932930108,54.53225806,325,205.0,186.39247907384905,
2013-08-01,21.70376344,87.33333333,0.537365591,73.20430108,105,-220.0,-241.84272913439247,
2013-09-01,21.12486111,83.24166667,0.323333333,120.4902778,5,-100.0,-257.43737807953505,
2013-10-01,18.37701613,79.54166667,0.220967742,92.11827957,0,-5.0,26.95985925812512,
2013-11-01,14.31875,77.24027778,0.004027778,128.1027778,2,2.0,-42.58988212982139,
2013-12-01,11.34448925,75.04435484,0.037634409,102.1491935,8,6.0,-52.123529299980675,
2014-01-01,10.2686828,74.95564516,0.076075269,112.0967742,19,11.0,-31.20622903922262,
2014-02-01,11.18660714,74.59821429,0.103125,131.1309524,33,14.0,-24.85771196978809,
2014-03-01,13.97043011,68.64247312,0.045564516,177.9435484,170,137.0,132.8102456157423,
2014-04-01,17.88944444,58.76944444,0.027083333,214.1166667,102,-68.0,-25.71223426860493,
2014-05-01,20.54354839,67.71102151,0.100403226,197.0255376,35,-67.0,-26.115984056770564,
2014-06-01,22.02972222,83.4125,0.530972222,119.1444444,26,-9.0,-54.01597738976261,
2014-07-01,22.21962366,88.23387097,0.705645161,64.28091398,370,344.0,237.8080747852605,
2014-08-01,21.59448925,89.71370968,0.865725806,61.78360215,249,-121.0,-49.28850749772437,
2014-09-01,20.62,85.98888889,0.4075,92.55833333,107,-142.0,-145.91952939144358,
2014-10-01,17.69596774,74.86962366,0.207392473,134.438172,30,-77.0,6.5061344617076315,
2014-11-01,14.78694444,83.28611111,0.018333333,95.63611111,18,-12.0,-21.65334670087789,
2014-12-01,11.69905914,75.85215054,0.067876344,107.7096774,11,-7.0,-48.80249593689902,
2015-01-01,9.859274194,71.50268817,0.161424731,116.9099462,6,-5.0,-46.17304205393864,
2015-02-01,11.73883929,75.78125,0.053422619,109.4866071,96,90.0,41.64270298612364,
2015-03-01,13.98790323,72.36962366,0.172983871,149.4543011,784,688.0,649.3997080580679,
2015-04-01,16.49430556,72.82083333,0.147083333,152.4777778,204,-580.0,-288.351127467094,
